epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,4156.03,0.66247,0.33923,0.94495,0.99409,0.96855,0.99363,0.7632,1.02281,0.36789,1.09834,0.0078022,0.0078022,0.0078022
113,4193.74,0.66319,0.33766,0.95517,0.99272,0.96855,0.9918,0.75951,1.02117,0.36612,1.08667,0.0077824,0.0077824,0.0077824
114,4231.14,0.65854,0.33654,0.95274,0.99355,0.96822,0.99039,0.74997,1.00764,0.35775,1.07734,0.0077626,0.0077626,0.0077626
115,4268.51,0.66392,0.34048,0.95186,0.99359,0.97447,0.9897,0.75741,1.05701,0.37006,1.1028,0.0077428,0.0077428,0.0077428
116,4305.8,0.6636,0.3383,0.95279,0.98694,0.97484,0.99037,0.75035,1.04096,0.37754,1.09449,0.007723,0.007723,0.007723
117,4343.84,0.66877,0.33854,0.95363,0.99041,0.97465,0.99179,0.75526,1.04335,0.37039,1.09292,0.0077032,0.0077032,0.0077032
118,4381.31,0.67502,0.34257,0.94975,0.9921,0.97484,0.99008,0.74874,1.0532,0.36817,1.09976,0.0076834,0.0076834,0.0076834
119,4421.05,0.67175,0.34222,0.94638,0.98663,0.97799,0.99105,0.7512,1.05356,0.37347,1.09006,0.0076636,0.0076636,0.0076636
120,4463.41,0.6704,0.33937,0.95398,0.99197,0.9717,0.98986,0.76081,1.01989,0.37025,1.08156,0.0076438,0.0076438,0.0076438
121,4500.93,0.67717,0.34195,0.95284,0.99337,0.97484,0.99016,0.74985,1.04516,0.37654,1.08825,0.007624,0.007624,0.007624
122,4538.65,0.66558,0.33799,0.94551,0.99091,0.9717,0.98777,0.75375,1.03199,0.37517,1.08819,0.0076042,0.0076042,0.0076042
123,4576.38,0.6703,0.34022,0.95026,0.99352,0.96469,0.98925,0.75835,1.03086,0.3762,1.08536,0.0075844,0.0075844,0.0075844
124,4614.22,0.65622,0.33346,0.9447,0.99319,0.97484,0.99042,0.75663,1.04364,0.37429,1.09126,0.0075646,0.0075646,0.0075646
125,4651.82,0.66558,0.33234,0.95311,0.99358,0.9737,0.99224,0.75656,1.02234,0.36785,1.08294,0.0075448,0.0075448,0.0075448
126,4689.69,0.66604,0.33651,0.95083,0.99276,0.96855,0.99278,0.75383,1.0127,0.35726,1.07946,0.007525,0.007525,0.007525
127,4728.66,0.64687,0.33733,0.95033,0.99041,0.97422,0.98861,0.75518,1.02671,0.37179,1.08022,0.0075052,0.0075052,0.0075052
128,4768.51,0.65331,0.33727,0.95025,0.98723,0.97253,0.99062,0.75419,1.02549,0.37106,1.0828,0.0074854,0.0074854,0.0074854
129,4806.38,0.65781,0.33365,0.95103,0.99333,0.97484,0.99065,0.75834,1.0155,0.35695,1.09066,0.0074656,0.0074656,0.0074656
130,4844.3,0.64851,0.33388,0.94523,0.99042,0.97531,0.99072,0.76079,1.0012,0.35641,1.07568,0.0074458,0.0074458,0.0074458
131,4881.65,0.66925,0.33885,0.95122,0.98409,0.97799,0.98951,0.76101,1.02493,0.36035,1.08507,0.007426,0.007426,0.007426
132,4919.02,0.65088,0.33245,0.94253,0.98808,0.9717,0.99041,0.76354,1.01914,0.36658,1.08389,0.0074062,0.0074062,0.0074062
133,4956.45,0.64673,0.32664,0.93986,0.99358,0.97384,0.99188,0.75912,1.03547,0.36387,1.08934,0.0073864,0.0073864,0.0073864
134,4993.93,0.65389,0.33025,0.94403,0.99042,0.97799,0.99206,0.75815,1.0108,0.35262,1.07333,0.0073666,0.0073666,0.0073666
135,5031.61,0.65709,0.33458,0.94111,0.99317,0.97799,0.9929,0.76062,1.02242,0.35244,1.0836,0.0073468,0.0073468,0.0073468
136,5069.1,0.65658,0.33218,0.94671,0.99045,0.97857,0.99325,0.7602,1.02651,0.36144,1.08509,0.007327,0.007327,0.007327
137,5106.58,0.64105,0.32655,0.94312,0.9888,0.96541,0.9924,0.76423,1.027,0.37182,1.07717,0.0073072,0.0073072,0.0073072
138,5143.76,0.6495,0.33232,0.94314,0.98404,0.96946,0.99184,0.75891,1.01438,0.36102,1.07597,0.0072874,0.0072874,0.0072874
139,5181.97,0.63965,0.3265,0.93878,0.99041,0.97461,0.99208,0.75835,1.02918,0.35429,1.07988,0.0072676,0.0072676,0.0072676
140,5219.91,0.65787,0.33249,0.9452,0.98725,0.97413,0.99296,0.76305,1.03097,0.35763,1.0828,0.0072478,0.0072478,0.0072478
141,5257,0.65133,0.32977,0.94285,0.99359,0.97455,0.99103,0.75675,1.03707,0.36215,1.08554,0.007228,0.007228,0.007228
142,5294.57,0.63469,0.3231,0.93665,0.99043,0.97677,0.99023,0.75563,1.02631,0.35881,1.08181,0.0072082,0.0072082,0.0072082
143,5332.09,0.64533,0.32907,0.93588,0.98977,0.97484,0.99204,0.75657,1.02724,0.37583,1.0858,0.0071884,0.0071884,0.0071884
144,5369.39,0.63873,0.32646,0.94023,0.99251,0.97484,0.99117,0.75671,1.01944,0.37619,1.08044,0.0071686,0.0071686,0.0071686
145,5406.87,0.63756,0.31926,0.94248,0.99042,0.97505,0.98925,0.75917,1.01556,0.36709,1.08329,0.0071488,0.0071488,0.0071488
146,5444.05,0.62765,0.31867,0.93336,0.99217,0.97484,0.99066,0.75856,1.03686,0.36953,1.08679,0.007129,0.007129,0.007129
147,5481.27,0.63605,0.3242,0.94108,0.99193,0.97484,0.99118,0.76023,1.04243,0.36721,1.08493,0.0071092,0.0071092,0.0071092
148,5518.89,0.62653,0.31941,0.93488,0.9873,0.97818,0.99163,0.76569,1.05155,0.36659,1.09447,0.0070894,0.0070894,0.0070894
149,5556.13,0.64457,0.32432,0.93849,0.99048,0.9811,0.99122,0.759,1.04231,0.37138,1.08393,0.0070696,0.0070696,0.0070696
150,5593.84,0.6226,0.32114,0.93477,0.98695,0.98113,0.99129,0.75157,1.06268,0.37408,1.09029,0.0070498,0.0070498,0.0070498
151,5631.37,0.63896,0.32353,0.93687,0.98732,0.97946,0.99175,0.75487,1.05824,0.36895,1.09863,0.00703,0.00703,0.00703
152,5668.93,0.64945,0.33018,0.93797,0.99048,0.9815,0.99087,0.75248,1.0558,0.36385,1.09808,0.0070102,0.0070102,0.0070102
153,5706.32,0.62935,0.32233,0.93644,0.98644,0.98428,0.99139,0.75639,1.03404,0.35802,1.09199,0.0069904,0.0069904,0.0069904
154,5743.69,0.63256,0.32009,0.93446,0.98116,0.98272,0.99211,0.75935,1.02931,0.35694,1.09111,0.0069706,0.0069706,0.0069706
155,5781.01,0.62393,0.31986,0.93824,0.98059,0.98113,0.99027,0.75693,1.03559,0.36505,1.09432,0.0069508,0.0069508,0.0069508
156,5818.08,0.64435,0.33271,0.94102,0.98998,0.96855,0.99001,0.75764,1.05545,0.37747,1.10611,0.006931,0.006931,0.006931
157,5855.2,0.61685,0.30972,0.93351,0.99219,0.9717,0.99026,0.7553,1.04212,0.37496,1.09557,0.0069112,0.0069112,0.0069112
158,5892.54,0.6338,0.32006,0.93466,0.99356,0.97016,0.99031,0.75682,1.04977,0.37584,1.09833,0.0068914,0.0068914,0.0068914
159,5930.14,0.6306,0.32428,0.93803,0.98972,0.97484,0.99057,0.76275,1.05022,0.36344,1.10401,0.0068716,0.0068716,0.0068716
160,5967.6,0.62513,0.32463,0.9327,0.99003,0.97484,0.99038,0.75899,1.05577,0.37029,1.10658,0.0068518,0.0068518,0.0068518
161,6005.08,0.62803,0.31964,0.93378,0.99357,0.97109,0.98943,0.75762,1.0471,0.37026,1.09532,0.006832,0.006832,0.006832
162,6042.19,0.61937,0.31782,0.93508,0.98279,0.97484,0.99138,0.75767,1.06244,0.38462,1.09565,0.0068122,0.0068122,0.0068122
163,6079.42,0.62462,0.32469,0.9289,0.99039,0.97264,0.98964,0.75329,1.04452,0.36734,1.08832,0.0067924,0.0067924,0.0067924
164,6116.53,0.63457,0.32252,0.93532,0.99203,0.96541,0.99225,0.75649,1.04469,0.35697,1.08907,0.0067726,0.0067726,0.0067726
165,6153.79,0.62967,0.3162,0.9304,0.9888,0.97484,0.99192,0.76079,1.05419,0.36669,1.09527,0.0067528,0.0067528,0.0067528
166,6191.21,0.63574,0.32253,0.94337,0.99356,0.971,0.99122,0.75354,1.05517,0.36098,1.09594,0.006733,0.006733,0.006733
167,6228.83,0.62782,0.32302,0.93271,0.9935,0.96855,0.99147,0.75689,1.04172,0.35349,1.09412,0.0067132,0.0067132,0.0067132
168,6266.06,0.64325,0.31912,0.94265,0.99355,0.96843,0.99314,0.76042,1.02821,0.35383,1.09236,0.0066934,0.0066934,0.0066934
169,6303.28,0.62612,0.31601,0.93562,0.99137,0.96541,0.99278,0.76066,1.03078,0.36024,1.08579,0.0066736,0.0066736,0.0066736
170,6340.43,0.62351,0.31864,0.93402,0.99158,0.96541,0.99215,0.75872,1.03493,0.35409,1.0942,0.0066538,0.0066538,0.0066538
171,6377.84,0.60766,0.30962,0.9236,0.98422,0.98099,0.99186,0.75201,1.05084,0.35855,1.11148,0.006634,0.006634,0.006634
172,6415.33,0.61909,0.31392,0.92622,0.99226,0.96855,0.99103,0.75685,1.04851,0.36015,1.09839,0.0066142,0.0066142,0.0066142
173,6452.89,0.62271,0.31641,0.9322,0.98919,0.96855,0.99088,0.7507,1.04561,0.3604,1.08997,0.0065944,0.0065944,0.0065944
174,6490.29,0.62767,0.31609,0.93145,0.99265,0.96855,0.99101,0.75669,1.04141,0.34689,1.09263,0.0065746,0.0065746,0.0065746
175,6527.39,0.6123,0.31085,0.92561,0.99355,0.96848,0.99157,0.75922,1.03108,0.35523,1.08995,0.0065548,0.0065548,0.0065548
176,6564.79,0.63183,0.31697,0.93299,0.99027,0.97484,0.9909,0.75919,1.04055,0.36376,1.09551,0.006535,0.006535,0.006535
177,6602.34,0.62247,0.30907,0.93041,0.99041,0.97439,0.99125,0.76374,1.02836,0.3504,1.08835,0.0065152,0.0065152,0.0065152
178,6639.68,0.61304,0.31035,0.93221,0.99041,0.97476,0.99121,0.76111,1.03754,0.35157,1.08885,0.0064954,0.0064954,0.0064954
179,6676.97,0.62161,0.31056,0.93225,0.99039,0.97174,0.99177,0.75803,1.0258,0.34762,1.08696,0.0064756,0.0064756,0.0064756
180,6714.05,0.60622,0.31117,0.92913,0.99357,0.97151,0.99156,0.75825,1.03558,0.35492,1.08602,0.0064558,0.0064558,0.0064558
